Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Permuted,NEC_seed8_permuteTRUE_fold4,8,4,meta_aloneRFE,0.2986790986790987,6,5,NA,24
Permuted,NEC_seed8_permuteTRUE_fold4,8,4,meta_dataGLM,0.7466977466977467,2,5,NA,5
Permuted,NEC_seed8_permuteTRUE_fold4,8,4,mbiome_DCV-ridgeRegression,0.46526806526806525,14,16,NA,5
Permuted,NEC_seed8_permuteTRUE_fold4,8,4,mbiome_DCV-ridgeEnsemble,0.48282828282828283,14,16,NA,5
Permuted,NEC_seed8_permuteTRUE_fold4,8,4,mbiome_DCV-rfRFE,0.5201243201243201,7,6,NA,5
Permuted,NEC_seed8_permuteTRUE_fold4,8,4,mbiome + meta_dataRFE,0.45672105672105673,7,5,NA,5
Permuted,NEC_seed8_permuteTRUE_fold4,8,4,mbiome + meta_dataGLM,0.7466977466977467,2,21,NA,21
