Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Permuted,NEC_seed7_permuteTRUE_fold3,7,3,meta_aloneRFE,0.7645433864153396,7,6,NA,25
Permuted,NEC_seed7_permuteTRUE_fold3,7,3,meta_dataGLM,0.7640558986025349,2,6,NA,6
Permuted,NEC_seed7_permuteTRUE_fold3,7,3,mbiome_DCV-ridgeRegression,0.5011374715632109,6,6,NA,6
Permuted,NEC_seed7_permuteTRUE_fold3,7,3,mbiome_DCV-ridgeEnsemble,0.42021449463763405,6,6,NA,6
Permuted,NEC_seed7_permuteTRUE_fold3,7,3,mbiome_DCV-rfRFE,0.4286642833929152,4,2,NA,6
Permuted,NEC_seed7_permuteTRUE_fold3,7,3,mbiome + meta_dataRFE,0.34026649333766656,5,3,NA,6
Permuted,NEC_seed7_permuteTRUE_fold3,7,3,mbiome + meta_dataGLM,0.7809554761130971,12,12,NA,12
