Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Permuted,NEC_seed6_permuteTRUE_fold5,6,5,meta_aloneRFE,0.5319526627218936,6,5,NA,24
Permuted,NEC_seed6_permuteTRUE_fold5,6,5,meta_dataGLM,0.5256410256410257,6,5,NA,5
Permuted,NEC_seed6_permuteTRUE_fold5,6,5,mbiome_DCV-ridgeRegression,0.5893491124260355,10,10,NA,5
Permuted,NEC_seed6_permuteTRUE_fold5,6,5,mbiome_DCV-ridgeEnsemble,0.5021696252465483,10,10,NA,5
Permuted,NEC_seed6_permuteTRUE_fold5,6,5,mbiome_DCV-rfRFE,0.5029585798816568,4,3,NA,5
Permuted,NEC_seed6_permuteTRUE_fold5,6,5,mbiome + meta_dataRFE,0.4958579881656805,7,4,NA,5
Permuted,NEC_seed6_permuteTRUE_fold5,6,5,mbiome + meta_dataGLM,0.5256410256410257,6,15,NA,15
