Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm
Empirical,16S_meanShift1,1,1,CLR-LASSO,0.544,1,1,3.113999999999997,124,FALSE,1
Empirical,16S_meanShift1,1,1,Coda-LASSO,0.514,3,1,62.367999999999995,124,FALSE,1
Empirical,16S_meanShift1,1,2,DCV-ridgeRegression,0.5448,47,191,NA,124,FALSE,1
Empirical,16S_meanShift1,1,2,DCV-ridgeEnsemble,0.4588,47,191,NA,124,FALSE,1
Empirical,16S_meanShift1,1,2,DCV-rfRFE,0.4672,40,72,NA,124,FALSE,1
Empirical,16S_meanShift1,1,2,CLR-LASSO,0.4736,2,2,1.34699999999998,124,FALSE,1
Empirical,16S_meanShift1,1,2,Coda-LASSO,0.5088,4,1,51.923,124,FALSE,1
Empirical,16S_meanShift1,1,2,DCV-ridgeRegression,0.5164,24,43,NA,124,FALSE,1
Empirical,16S_meanShift1,1,2,DCV-ridgeEnsemble,0.4844,24,43,NA,124,FALSE,1
Empirical,16S_meanShift1,1,2,DCV-rfRFE,0.4992,19,23,NA,124,FALSE,1
Empirical,16S_meanShift1,2,1,CLR-LASSO,0.64,1,1,0.6839999999999691,124,FALSE,1
Empirical,16S_meanShift1,2,1,Coda-LASSO,0.4896,2,1,32.43100000000004,124,FALSE,1
Empirical,16S_meanShift1,2,2,DCV-ridgeRegression,0.546,24,53,NA,124,FALSE,1
Empirical,16S_meanShift1,2,2,DCV-ridgeEnsemble,0.4536,24,53,NA,124,FALSE,1
Empirical,16S_meanShift1,2,2,DCV-rfRFE,0.4672,18,20,NA,124,FALSE,1
Empirical,16S_meanShift1,2,2,CLR-LASSO,0.554,3,3,1.4549999999999272,124,FALSE,1
Empirical,16S_meanShift1,2,2,Coda-LASSO,0.5792,2,1,63.565000000000055,124,FALSE,1
Empirical,16S_meanShift1,2,2,DCV-ridgeRegression,0.4788,24,64,NA,124,FALSE,1
Empirical,16S_meanShift1,2,2,DCV-ridgeEnsemble,0.4668,24,64,NA,124,FALSE,1
Empirical,16S_meanShift1,2,2,DCV-rfRFE,0.4536,22,29,NA,124,FALSE,1
Empirical,16S_meanShift1,3,1,CLR-LASSO,0.5,0,0,1.2869999999998072,124,FALSE,1
Empirical,16S_meanShift1,3,1,Coda-LASSO,0.5044,2,1,82.88600000000042,124,FALSE,1
Empirical,16S_meanShift1,3,2,DCV-ridgeRegression,0.5952,24,46,NA,124,FALSE,1
Empirical,16S_meanShift1,3,2,DCV-ridgeEnsemble,0.38880000000000003,24,46,NA,124,FALSE,1
Empirical,16S_meanShift1,3,2,DCV-rfRFE,0.424,20,18,NA,124,FALSE,1
Empirical,16S_meanShift1,3,2,CLR-LASSO,0.64,2,2,0.8980000000001382,124,FALSE,1
Empirical,16S_meanShift1,3,2,Coda-LASSO,0.6052,3,1,63.19500000000062,124,FALSE,1
Empirical,16S_meanShift1,3,2,DCV-ridgeRegression,0.5796,93,479,NA,124,FALSE,1
Empirical,16S_meanShift1,3,2,DCV-ridgeEnsemble,0.4088,93,479,NA,124,FALSE,1
Empirical,16S_meanShift1,3,2,DCV-rfRFE,0.3992,67,144,NA,124,FALSE,1
Empirical,16S_meanShift1,4,1,CLR-LASSO,0.5,0,0,1.1020000000007713,124,FALSE,1
Empirical,16S_meanShift1,4,1,Coda-LASSO,0.4884,2,1,99.54600000000028,124,FALSE,1
Empirical,16S_meanShift1,4,2,DCV-ridgeRegression,0.4888,47,143,NA,124,FALSE,1
Empirical,16S_meanShift1,4,2,DCV-ridgeEnsemble,0.4796,47,143,NA,124,FALSE,1
Empirical,16S_meanShift1,4,2,DCV-rfRFE,0.4788,39,76,NA,124,FALSE,1
Empirical,16S_meanShift1,4,2,CLR-LASSO,0.5,0,0,1.1829999999999927,124,FALSE,1
Empirical,16S_meanShift1,4,2,Coda-LASSO,0.5208,2,1,59.30200000000059,124,FALSE,1
Empirical,16S_meanShift1,4,2,DCV-ridgeRegression,0.5124,24,73,NA,124,FALSE,1
Empirical,16S_meanShift1,4,2,DCV-ridgeEnsemble,0.4992,24,73,NA,124,FALSE,1
Empirical,16S_meanShift1,4,2,DCV-rfRFE,0.5292,21,33,NA,124,FALSE,1
Empirical,16S_meanShift1,5,1,CLR-LASSO,0.5,0,0,1.082999999999629,124,FALSE,1
Empirical,16S_meanShift1,5,1,Coda-LASSO,0.516,2,1,92.01100000000042,124,FALSE,1
Empirical,16S_meanShift1,5,2,DCV-ridgeRegression,0.5168,47,210,NA,124,FALSE,1
Empirical,16S_meanShift1,5,2,DCV-ridgeEnsemble,0.484,47,210,NA,124,FALSE,1
Empirical,16S_meanShift1,5,2,DCV-rfRFE,0.4708,37,63,NA,124,FALSE,1
Empirical,16S_meanShift1,5,2,CLR-LASSO,0.5,0,0,1.4660000000003492,124,FALSE,1
Empirical,16S_meanShift1,5,2,Coda-LASSO,0.5784,2,1,60.73400000000038,124,FALSE,1
Empirical,16S_meanShift1,5,2,DCV-ridgeRegression,0.5044,47,167,NA,124,FALSE,1
Empirical,16S_meanShift1,5,2,DCV-ridgeEnsemble,0.4996,47,167,NA,124,FALSE,1
Empirical,16S_meanShift1,5,2,DCV-rfRFE,0.5,47,141,NA,124,FALSE,1
