Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Permuted,NEC_seed16_permuteTRUE_fold2,16,2,meta_aloneRFE,0.42518518518518517,16,15,NA,21
Permuted,NEC_seed16_permuteTRUE_fold2,16,2,meta_dataGLM,0.8307407407407408,2,15,NA,15
Permuted,NEC_seed16_permuteTRUE_fold2,16,2,mbiome_DCV-ridgeRegression,0.667037037037037,8,8,NA,15
Permuted,NEC_seed16_permuteTRUE_fold2,16,2,mbiome_DCV-ridgeEnsemble,0.6185185185185185,8,8,NA,15
Permuted,NEC_seed16_permuteTRUE_fold2,16,2,mbiome_DCV-rfRFE,0.6359259259259259,7,5,NA,15
Permuted,NEC_seed16_permuteTRUE_fold2,16,2,mbiome + meta_dataRFE,0.3611111111111111,11,9,NA,15
Permuted,NEC_seed16_permuteTRUE_fold2,16,2,mbiome + meta_dataGLM,0.8307407407407408,2,23,NA,23
