Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Permuted,NEC_seed4_permuteTRUE_fold2,4,2,meta_aloneRFE,0.45454545454545453,10,9,NA,25
Permuted,NEC_seed4_permuteTRUE_fold2,4,2,meta_dataGLM,0.3513143483023001,3,9,NA,9
Permuted,NEC_seed4_permuteTRUE_fold2,4,2,mbiome_DCV-ridgeRegression,0.5599671412924425,14,21,NA,9
Permuted,NEC_seed4_permuteTRUE_fold2,4,2,mbiome_DCV-ridgeEnsemble,0.5339539978094194,14,21,NA,9
Permuted,NEC_seed4_permuteTRUE_fold2,4,2,mbiome_DCV-rfRFE,0.45043811610076673,11,9,NA,9
Permuted,NEC_seed4_permuteTRUE_fold2,4,2,mbiome + meta_dataRFE,0.48274917853231103,21,18,NA,9
Permuted,NEC_seed4_permuteTRUE_fold2,4,2,mbiome + meta_dataGLM,0.5936473165388828,21,30,NA,30
