Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Permuted,NEC_seed3_permuteTRUE_fold1,3,1,meta_aloneRFE,0.6251984126984127,11,10,NA,22
Permuted,NEC_seed3_permuteTRUE_fold1,3,1,meta_dataGLM,0.7529761904761905,11,10,NA,10
Permuted,NEC_seed3_permuteTRUE_fold1,3,1,mbiome_DCV-ridgeRegression,0.6669642857142857,8,7,NA,10
Permuted,NEC_seed3_permuteTRUE_fold1,3,1,mbiome_DCV-ridgeEnsemble,0.5788690476190477,8,7,NA,10
Permuted,NEC_seed3_permuteTRUE_fold1,3,1,mbiome_DCV-rfRFE,0.5959325396825397,6,5,NA,10
Permuted,NEC_seed3_permuteTRUE_fold1,3,1,mbiome + meta_dataRFE,0.664484126984127,16,14,NA,10
Permuted,NEC_seed3_permuteTRUE_fold1,3,1,mbiome + meta_dataGLM,0.727579365079365,16,17,NA,17
