Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims
Permuted,NEC_seed9_permuteTRUE_fold3,9,3,meta_aloneRFE,0.2931451612903226,8,7,NA,23
Permuted,NEC_seed9_permuteTRUE_fold3,9,3,meta_dataGLM,0.7157258064516129,2,7,NA,7
Permuted,NEC_seed9_permuteTRUE_fold3,9,3,mbiome_DCV-ridgeRegression,0.6858870967741936,17,24,NA,7
Permuted,NEC_seed9_permuteTRUE_fold3,9,3,mbiome_DCV-ridgeEnsemble,0.4495967741935484,17,24,NA,7
Permuted,NEC_seed9_permuteTRUE_fold3,9,3,mbiome_DCV-rfRFE,0.380241935483871,14,15,NA,7
Permuted,NEC_seed9_permuteTRUE_fold3,9,3,mbiome + meta_dataRFE,0.35443548387096774,16,15,NA,7
Permuted,NEC_seed9_permuteTRUE_fold3,9,3,mbiome + meta_dataGLM,0.7157258064516129,2,31,NA,31
