Scenario,Dataset,Seed,Fold,Approach,AUC,number_parts,number_ratios,comp_time,base_dims,permuteLabel,shift_parm
Permuted,16S_meanShift4,1,1,CLR-LASSO,0.5,0,0,1.3449999999999989,124,TRUE,4
Permuted,16S_meanShift4,1,1,Coda-LASSO,0.5828,2,1,103.298,124,TRUE,4
Permuted,16S_meanShift4,1,2,DCV-ridgeRegression,0.9808,47,356,NA,124,TRUE,4
Permuted,16S_meanShift4,1,2,DCV-ridgeEnsemble,0.9843999999999999,47,356,NA,124,TRUE,4
Permuted,16S_meanShift4,1,2,DCV-rfRFE,0.984,47,328,NA,124,TRUE,4
Permuted,16S_meanShift4,1,2,CLR-LASSO,0.4932,11,11,0.6189999999999145,124,TRUE,4
Permuted,16S_meanShift4,1,2,Coda-LASSO,0.5172,2,1,63.32999999999993,124,TRUE,4
Permuted,16S_meanShift4,1,2,DCV-ridgeRegression,1,93,704,NA,124,TRUE,4
Permuted,16S_meanShift4,1,2,DCV-ridgeEnsemble,1,93,704,NA,124,TRUE,4
Permuted,16S_meanShift4,1,2,DCV-rfRFE,1,80,430,NA,124,TRUE,4
Permuted,16S_meanShift4,2,1,CLR-LASSO,0.5,0,0,0.7119999999999891,124,TRUE,4
Permuted,16S_meanShift4,2,1,Coda-LASSO,0.5784,2,1,59.45500000000038,124,TRUE,4
Permuted,16S_meanShift4,2,2,DCV-ridgeRegression,0.9972,93,831,NA,124,TRUE,4
Permuted,16S_meanShift4,2,2,DCV-ridgeEnsemble,1,93,831,NA,124,TRUE,4
Permuted,16S_meanShift4,2,2,DCV-rfRFE,0.9988,83,508,NA,124,TRUE,4
Permuted,16S_meanShift4,2,2,CLR-LASSO,0.5508,1,1,1.3099999999999454,124,TRUE,4
Permuted,16S_meanShift4,2,2,Coda-LASSO,0.5344,2,1,90.03800000000001,124,TRUE,4
Permuted,16S_meanShift4,2,2,DCV-ridgeRegression,0.9976,93,782,NA,124,TRUE,4
Permuted,16S_meanShift4,2,2,DCV-ridgeEnsemble,0.9992,93,782,NA,124,TRUE,4
Permuted,16S_meanShift4,2,2,DCV-rfRFE,0.9988,93,782,NA,124,TRUE,4
Permuted,16S_meanShift4,3,1,CLR-LASSO,0.5,0,0,0.8779999999997017,124,TRUE,4
Permuted,16S_meanShift4,3,1,Coda-LASSO,0.5304,2,1,89.27199999999993,124,TRUE,4
Permuted,16S_meanShift4,3,2,DCV-ridgeRegression,0.9992,93,875,NA,124,TRUE,4
Permuted,16S_meanShift4,3,2,DCV-ridgeEnsemble,1,93,875,NA,124,TRUE,4
Permuted,16S_meanShift4,3,2,DCV-rfRFE,1,92,807,NA,124,TRUE,4
Permuted,16S_meanShift4,3,2,CLR-LASSO,0.5,0,0,0.9309999999995853,124,TRUE,4
Permuted,16S_meanShift4,3,2,Coda-LASSO,0.5228,2,1,95.32099999999991,124,TRUE,4
Permuted,16S_meanShift4,3,2,DCV-ridgeRegression,0.9976,93,804,NA,124,TRUE,4
Permuted,16S_meanShift4,3,2,DCV-ridgeEnsemble,1,93,804,NA,124,TRUE,4
Permuted,16S_meanShift4,3,2,DCV-rfRFE,0.9996,88,616,NA,124,TRUE,4
Permuted,16S_meanShift4,4,1,CLR-LASSO,0.5,0,0,1.5280000000002474,124,TRUE,4
Permuted,16S_meanShift4,4,1,Coda-LASSO,0.514,2,1,98.72600000000057,124,TRUE,4
Permuted,16S_meanShift4,4,2,DCV-ridgeRegression,0.9968,70,471,NA,124,TRUE,4
Permuted,16S_meanShift4,4,2,DCV-ridgeEnsemble,0.9992,70,471,NA,124,TRUE,4
Permuted,16S_meanShift4,4,2,DCV-rfRFE,0.9992,70,471,NA,124,TRUE,4
Permuted,16S_meanShift4,4,2,CLR-LASSO,0.524,3,3,0.9989999999997963,124,TRUE,4
Permuted,16S_meanShift4,4,2,Coda-LASSO,0.53,2,1,103.02000000000044,124,TRUE,4
Permuted,16S_meanShift4,4,2,DCV-ridgeRegression,0.9992,70,671,NA,124,TRUE,4
Permuted,16S_meanShift4,4,2,DCV-ridgeEnsemble,1,70,671,NA,124,TRUE,4
Permuted,16S_meanShift4,4,2,DCV-rfRFE,0.9996,68,514,NA,124,TRUE,4
Permuted,16S_meanShift4,5,1,CLR-LASSO,0.5176,6,6,0.9680000000007567,124,TRUE,4
Permuted,16S_meanShift4,5,1,Coda-LASSO,0.5224,2,1,64.80999999999949,124,TRUE,4
Permuted,16S_meanShift4,5,2,DCV-ridgeRegression,1,93,806,NA,124,TRUE,4
Permuted,16S_meanShift4,5,2,DCV-ridgeEnsemble,1,93,806,NA,124,TRUE,4
Permuted,16S_meanShift4,5,2,DCV-rfRFE,1,79,430,NA,124,TRUE,4
Permuted,16S_meanShift4,5,2,CLR-LASSO,0.5068,7,7,0.9529999999995198,124,TRUE,4
Permuted,16S_meanShift4,5,2,Coda-LASSO,0.5068,2,1,85.41799999999967,124,TRUE,4
Permuted,16S_meanShift4,5,2,DCV-ridgeRegression,0.99,47,373,NA,124,TRUE,4
Permuted,16S_meanShift4,5,2,DCV-ridgeEnsemble,0.9936,47,373,NA,124,TRUE,4
Permuted,16S_meanShift4,5,2,DCV-rfRFE,0.994,47,344,NA,124,TRUE,4
